,human_modification,transboundary_connectivity,climate_corridors,climate_type_macrorefugia,irrecoverable_carbon_biomass,irrecoverable_carbon_m_soc,aoh_richness_mammals,aoh_richness_birds
s0_ssp585_theta5,,0.9946614171924713,,1.0,0.976789081190047,0.8500223151645391,,
s1_ssp585_theta5,,0.9939388222056003,,1.0,0.976789081190047,0.8683551468607846,,
s2_ssp585_theta5,,1.0,,1.0,0.976789081190047,0.8537081242662169,,
s3_ssp585_theta5,,0.9536580983857046,,1.0,0.976789081190047,0.8490902452900699,,
s4_ssp585_theta2,,0.9913053178567749,,1.0,1.0,0.877182592595344,,
s5_ssp585_theta5,,0.9939856445381487,,1.0,0.8599335023600414,0.8595270262557024,,
s0_ssp245_theta5,,0.9887861003190053,,1.0,0.976789081190047,0.8494712569160805,,
s1_ssp245_theta5,,0.9877297517115132,,1.0,0.976789081190047,0.8609519674621442,,
s2_ssp245_theta5,,1.0,,1.0,0.976789081190047,0.8526430766440447,,
s3_ssp245_theta5,,0.9447009868445373,,1.0,0.976789081190047,0.8488999570635544,,
s4_ssp245_theta2,,0.9854300009833089,,1.0,1.0,0.8793110296665976,,
s5_ssp245_theta5,,0.9939856445381487,,1.0,0.8599335023600414,0.8546901336861453,,
s1x_ssp585_theta2,,0.9939388222056003,,1.0,0.976789081190047,0.8683551468607846,,
s3x_ssp585_theta2,,0.9689674559369519,,1.0,0.976789081190047,0.8542186868112484,,
